city_name,description,why_visit,whats_included,whats_not_included,restrictions,additional_info,location
60 Minute Statue of Liberty Sightseeing tour-New York Harbor,"Majestic Harbor Cruises' 60 minute Statue of Liberty Sightseeing tours November - 2022 sailing scheduled touring dates and times are as follows:Nov. 3rd tour 11:00 AM; 12:30 PM; 2:30 PM; 4:30 PM and 6:00 PMFrom November.4, 2022 to November 30, 2022 tours times: 11: 00 AM; 12:30 pm; 2:30 PM and 4:30 PM During the 60-minute New York City sightseeing cruise, you enjoy the wonders of the New York Harbor. Departing from Pier 36, the Majestic Princess travels the East Side of Manhattan before sailing within close proximity to the Statue of Liberty. On our NYC cruise, enjoy the view of the iconic Brooklyn Bridge, South Street Sea Port, Freedom Towers, Ellis Island, and other well-known landmarks.",[],"[""Majestic Harbor Cruises' 60 minute Statue of Liberty Sightseeing tours sailing""]",,[],[],"Departure point299 South St, South St 299, Manhattan, New York, 10002Pier 36 -299 South Street, (off the FDR Drive-at intersection of South Street and Montgomery St.) NYC, NY"
"Rooftop, Speakeasy and Bar Tour: Hell’s Kitchen NYC","Enjoy this cultural journey and insiders night out which explores the history of New York City through its pubs, bars and speakeasies and a high-end rooftop lounge. The tour provides a taste of the diverse nightlife landscape of the Hell's Kitchen neighborhood with preferred customer treatment such as expedited entry at all venues. Meet new friends from around the world while sipping cocktails rubbing elbows with the locals at some of NYC's premier venues.",[],"['Experienced host with great knowledge of New York City history', 'Express entry and preferred customer tretment at all venues', 'Free admission to all venues', 'Panoramic Rooftop Lounge Access']",['Gratuities'],[],[],"Departure point825 8th Ave, 8th Ave 825, Manhattan, New York, 10019On 8th Avenue between 49th Street and 50th Street. in front of the doorway entrance to Cravath, Swaine & Moore offices. There is a long bike rack on the street in front of the building and a large American flag hanging down."
"Ghost Stories: A Mysterious, Macabre Tour in the Metropolitan Museum","We offer a unique way to explore the Metropolitan Museum, through carefully curated, themed, interactive tours. We include discussion, activities, and handouts to create a distinctive experience. Tourgoers will explore works of art from around the world and from many cultures, looking at connections among them, and exploring their relation to the theme.",[],['Tickets are good in the museum after the tour ends'],,[],"['Good value1.0Facilities5.0Quality of service1.0Ease of access5.0', 'Good value1.0Facilities5.0Quality of service1.0Ease of access5.0', 'Good value1.0', 'Good value1.0', 'Good value', 'Good value', '1.0', '1.0', '', 'Facilities5.0', 'Facilities5.0', 'Facilities', 'Facilities', '5.0', '5.0', '', 'Quality of service1.0', 'Quality of service1.0', 'Quality of service', 'Quality of service', '1.0', '1.0', '', 'Ease of access5.0', 'Ease of access5.0', 'Ease of access', 'Ease of access', '5.0', '5.0', '']","Departure pointThe Metropolitan Museum of Art, 1000 5th Ave, , New York City New York, 10028-0198"
The Play That Goes Wrong Admission,"With this ticket, you’ll have the chance to experience The Play That Goes Wrong, a thrilling Broadway Show. During this performance at New World Stages, you'll be able to enjoy a comedy about a performance troupe staging a production of a 1920s-style murder mystery. As the story progresses, you’ll witness how when the curtain goes up, everything goes wrong with these characters.",[],['Admission'],,['Suitable for all fitness levels'],"['The best available seats are assigned by the theatre at the time of purchase and will be listed on the actual tickets.\rFor accessible seating, please advise in the ‘Special Requirements’ field during checkout. Please mention if you require transfer seating (retractable arm aisle seat) or wheelchair seating (empty wheelchair space).\rChildren aged 0–3 years are not permitted in the theatre.\rThe minimum recommended age for this experience is eight years. \rVisitors aged 18 years and above must present a valid government-issued photo ID. \rShow more', 'Show more']","Departure pointNew World Stages, 340 W 50th St, New York City, NY, 10019-6629"
Harlem Sunday Service Experience,"On this guided walking tour, you'll get the chance to explore New York City's Harlem neighbourhood. You'll be able to learn about the area's history and gain insights into the importance of houses of worship in African-American culture. You can also join the fellowship at a local church for an hour of Sunday service and gospel.","[""Insights into Harlem's history and houses of worship"", 'Opportunity to join the local congregation for a service', 'Chance for religion and history enthusiasts to learn more']",['Walking tour'],,['Please arrive at least 10 minutes before the activity starts.'],"['English (US)', 'English (US)', 'English (US)']","Meeting point125th Street & Malcolm X Boulevard, New York, NY, 10031Arrive at the listed address at Harlem One Stop Cultural Tours."
Manhattan Bus Tour in Italian,"On this guided bus tour in Italian, you’ll have the chance to discover the highlights of Manhattan. Some of the landmarks you’ll get to see include the Lincoln Center for the Performing Arts, Central Park, Trump Tower, St. Patrick's Cathedral, the Rockefeller Center, the Flatiron Building, the Empire State Building and the Charging Bull.  You’ll also be able to visit Battery Park, where you’ll get to take in the views of the Statue of Liberty, the One World Trade Center and more. Additionally, you’ll pass through the iconic neighbourhoods of Little Italy, Chinatown and the Financial District.",[],['Guide services'],['Gratuities'],['Suitable for all fitness levels'],"['Italian', 'Italian', 'Italian']","Departure pointVolatour Office - 33 W 46th St, Manhattan, New York, NY, 10036."
Blue Man Group at the Astor Place Theater in New York,"35 million people of all ages, languages and cultures have experienced the unexpected with Blue Man Group. Now it’s your turn to see what all the hype is about!",[],['Show Tickets (seating category selected at time of booking)'],"['Hotel pickup and drop-off', 'Beverages (available to purchase)']",[],"['4.2 · Very good(10 reviews)See all reviews', '4.2 · Very good(10 reviews)See all reviews', '4.2 · Very good(10 reviews)', 'Good value5.0Facilities3.0Quality of service5.0Ease of access5.0', 'Good value5.0Facilities3.0Quality of service5.0Ease of access5.0', 'Good value5.0', 'Good value5.0', 'Good value', 'Good value', '5.0', '5.0', '', 'Facilities3.0', 'Facilities3.0', 'Facilities', 'Facilities', '3.0', '3.0', '', 'Quality of service5.0', 'Quality of service5.0', 'Quality of service', 'Quality of service', '5.0', '5.0', '', 'Ease of access5.0', 'Ease of access5.0', 'Ease of access', 'Ease of access', '5.0', '5.0', '']","Departure pointBlue Man Group, 434 Lafayette Street #1, , New York City New York, 10003-6918"
Statue of Liberty and Ellis Island Tour in Spanish,"Visit Ellis Island and Statue of Liberty on this Private fully escorted walking tour. Enjoy a personalized overview of the Battery Park, Liberty Island, Ellis Island and Ground Zero. The best way to enjoy the Statue of Liberty in safe socially distance. The Statue of Liberty is open.",[],"['Audio Guide', 'Professional guide', 'National Park fees', 'Guaranteed to skip the long lines']",['Gratuities'],[],[],"Departure point24 State St, State St 24, Manhattan, New York, 10004Please meet you tour guide for the private tour in front of Starbucks coffee located across the street from battery park"
Self-guided Walking Tour of the Battery,"This tour will allow you to explore the Battery at your own pace. An audio guide will provide turn-by-turn directions and plenty of interesting facts about the sights. You will discover several monuments including the Korean War Memorial and the East Coast Memorial, Castle Clinton and the Immigrants’ statue, among others. Your tour will end in front of the cobbled stretch of Stone Street, a part of the park that many New Yorkers never get to see.",[],['Downloadable VoiceMap app on Android and iOS devices'],"['Food and drinks', 'Smartphone and headphones', 'Admission to attractions', 'Transportation']",['Suitable for all fitness levels'],"['English (US)', 'English (US)', 'English (US)']","Departure pointBowling Green, Whitehall St, Manhattan, New York, NY, 10004Please install the VoiceMap mobile app before taking the tour, and use the code provided on your confirmation voucher. 

This tour follows a set route and includes turn-by-turn directions. It works best to begin the tour at the starting point and follow the directions from one location to the next."
Guided Central Park Bike Tour 2 Hours,"Explore the tranquil shady paths, charming lakes, and serene lanes of Central Park in New York City by renting a bike. With the freedom to ride at your own pace and explore wherever you please, you'll be able to experience all the highlights of this vast park on two wheels. Whether you're seeking recommendations on the best sights to visit within the park or prefer to ride along city streets to nearby museums and Times Square, an independent bike rental in Central Park will offer you the perfect itinerary that matches your preferences. Once you're done, you have the option to return your bike to the same location or drop it off at a different spot in the city.",[],"['Helmet', 'Basket', 'Use of bicycle']",,[],[],"Departure point240 W 56th St, W 56th St 240, Manhattan, New York, 10019Meeting at Cycle Park NYC store"
"SoHo, Little Italy, and Chinatown Guided Tour by Local Guide","Join our remarkable New York City adventure that will awaken your senses and create memories for you in the heart of the Big Apple. Our tour isn't just a walk through the neighborhoods; it's an unforgettable journey that will leave you with great memories of the city's vibrant culture and rich history.Led by passionate local guides, gain an insider's view of these neighborhoods. From Chinatown's exotic scents to Little Italy's Italian charm and SoHo's artistic spirit, it's a journey through NYC's cultural mosaic.In addition to that see landmarks like the Brooklyn Bridge and City Hall, understanding their historical significance. Plus, savor dumplings in Chinatown and cannoli in Little Italy, experiencing the city's culinary diversity.",[],['Local Tour Guide'],['Hotel Pickup/Drof-off'],[],[],"Departure pointCity Hall, Manhattan, New York, 10007We will meet you by the City Hall Train Station on R/W lines."
Lower Manhattan and Brooklyn Bridge Bike Tour,"On this two-hour tour, you’ll get the opportunity to take a bike ride around Lower Manhattan and climb uphill to enjoy the panoramic views of New York Harbour. Along the way, your guide will tell you stories about the past of New York and will share facts about the origins of the city’s famous attractions. You’ll be able to discover New York City Hall, Ellis Island and the Statue of Liberty, Staten Island and the Financial District. After a 15-minute climb, you’ll then reach the Brooklyn Bridge and cross it to see the city from the opposite side. Before the tour ends, you’ll also have the chance to explore the South Street Seaport area.",[],"['Bike lock', 'Helmet', 'Illustrated map', 'Bike rental', 'Basket']",['Tips'],['Suitable for all fitness levels'],"['English (US)', 'English (US)', 'English (US)']","Departure point38 Park Row, Manhattan, New York, NY, 10038Meet your guide at the Brooklyn Bridge Sightseeing office at the listed address. Please check in at the front desk."
9/11 Memorial Tour with Observatory Tickets,"On this guided tour, you'll visit the 9/11 Memorial. You'll be able to enter St Peter’s Church, where people came to pray and await news in the event's immediate aftermath. Inside, you'll find hand-drawn cards and memorials, personal memorabilia and photographs still displayed. You'll see the Twin Reflecting Pools with the engraved name of each victim and hear stories about they are honoured today. You'll visit the Fireman's Memorial and you'll see the Survivor's Tree. The tour will conclude with a visit to the One World Observatory where you'll be guaranteed entrance thanks to your pre-reserved tickets.","['Guaranteed visit to One World Observatory', '9/11 Memorial including Twin Reflecting Pools', 'Stories and insight from knowledgable local guide']","['Pre-reserved entrance to One World Observatory', 'Guide services', 'Admission to sites']",['Tips'],['Please arrive at least 15 minutes before the activity starts.'],"['English (US)', 'English (US)', 'English (US)']","Meeting point22 Barclay Street (St. Peter's Church), New York, NY, 10007Please meet at the front steps of the church."
High Line Self-guided Audio Walking Tour,"On this self-guided audio tour, you'll be able to walk along the historic High Line in New York.  While you check out some of the famous attractions including Whitney Museum, Chelsea Market and Hudson Yards Vessel, you'll also hear interesting facts about how this old freight railway was transformed into a lush urban park. You'll have the chance to explore passages, gardens and vintage railways. Then you can round off your tour with lunch at one of The High Line's many food vendors.","['Self-guided audio walking tour of The High Line', 'Chance to learn about this historic part of New York', 'Opportunity to visit famous New York attractions']",['Downloadable audio guide on your mobile device'],['Audio headsets'],[],"['Please remember to bring your own audio headset.\rThe audio guide can be downloaded at any time onto your mobile device.\rPlease note that the price includes access to the audio guide on one device only. \rYou can cancel this booking at any time providing you have not redeemed the activation code.\rPlease bring your ticket with you to the attraction.\rShow more', 'Show more']","Departure pointThe High Line, New York, 10011, New York, NYYou should start this self-guided walking tour at the entrance of The High Line."
2 HR - NYC Cocktail Making Class on a Yacht! + Car Tour!,"Guests will arrive at a very unique private yacht after enjoying a 30-minute private tour of Midtown NYC in a vintage car. At the boat, guests will learn from an expert mixologist how to craft 3 signature cocktails from the prohibition era.",[],"['Private transportation', 'Yacht', 'All tools and instruments to make incredible cocktails', 'All Fees and Taxes', 'Vintage car experience', 'Alcoholic Beverages']","['Gratuity for driver', 'Gratuity for bartender']",[],[],"Departure point910 7th Ave, 7th Ave 910, Manhattan, New York, 10019- the car will drive up to the front of Ella Mozzarella 910 7th Avenue!"
Statue of Liberty Ellis Island Cruise with One World Trade Ticket,"Set sail to see Lady Liberty with up close views from the water. Get your cameras ready for amazing breathtaking views. Cruise next to Ellis Island, the most famous entry point to the United States, now housing the famous Ellis Island Museum. See One World Observatory, the Brooklyn Bridge and more from remarkable vantage points. After your cruise walk over to ground zero and visit the Observation Deck located at One World Trade.",[],"['One World Trade Observations skip the line ticket', '60-Minute Sightseeing Cruise']",,[],[],"Departure pointPier 36 NYC, South St 299, Manhattan, New York, 10002Please go to the back of the pier toward the Hudson River and look for the Majestic Princess"
"9/11 Memorial, Liberty and Ellis Island Tour","On this guided tour, you’ll have the opportunity to explore some of New York City's most famous landmarks. You’ll begin the experience by walking through Wall Street and heading toward the World Trade Center to visit the 9/11 Memorial. Accompanied by a professional guide, you’ll learn interesting historical facts about the area. Next, you’ll hop on board the Liberty and Ellis Island ferry via priority line access. During the ferry trip, you’ll be able to hear an audio guide to learn more about the history of the two attractions while you take in the stunning views of New York, New Jersey and New York Harbor. As you explore both islands, you’ll get to visit the Statue of Liberty Museum and the Ellis Island National Museum of Immigration.",[],"['Audio guide', 'Guide services', 'Reserved round-trip ferry ticket', 'Admission to the sites']","['Admission to the 9/11 Museum', 'Tips', 'Crown and Pedestal access']",['Suitable for all fitness levels'],"['Please arrive at least 15 minutes before the activity starts.', 'Please arrive at least 15 minutes before the activity starts.']","Departure pointBroad St 20, Manhattan, New York, NY, 10005Please meet your guide outside 20 Broad Street next to the NY Stock Exchange. 

Your guide will be holding an orange flag."
American Dream Indoor Ice Skating Rink Ticket,"Take a spin on The Rink at American Dream, an NHL regulation size ice rink. Your ticket guarantees your spot on the ice for the date you selected. Have fun with the whole family with skates and helmet rental included.",[],"['1-Hour of skating at The Rink', 'Skate Rental', 'Helmet Rental']","['Parking ($5 per day)', 'Food and drinks (available to purchase)']",[],[],"Departure pointAmerican Dream, 1 American Dream Way, East Rutherford New Jersey, 07073"
New York Food Tour of Greenwich Village,"This 3.5-hour walking food tour of New York's Greenwich Village will give you a chance to explore the neighbourhood and try local foods. You'll get to walk along the High Line, see Washington Square Park, the Union Square Park and the One World Trade Center. You'll get to sample local foods and hear remarkable facts and stories about the local area.","['In-depth visit to explore Greenwich Village', 'Chance to taste bagels, doughnuts and pizza', 'Professional guide sharing unique insights']","['Guide services', 'Food tasting']",['Hotel pickup and drop-off'],['Requires a moderate level of physical fitness'],"['Comfortable footwear is recommended.', 'Comfortable footwear is recommended.']","Departure pointIFC Center, 6th Ave 323, Manhattan, New York, NY, 10014Meet your guide underneath the IFC Center marquee.

Your guide will be holding an orange umbrella."
Broadway Behind the Scenes Tour,"This tour will introduce you to the history of Broadway, the main theatre district of New York City. Your guide will share with you all the secrets about this centre of commercial theatre and the most famous shows performed here since its beginnings. Starting from Times Square, you will go on a walking tour to get to know remarkable theatres and learn about successful plays like The Sound of Music, The King and I, Camelot, The Wiz and The Phantom of the Opera, the longest running production in Broadway history. Your guide will also take you to Hell's Kitchen, where you will discover the theatres where shows are prepared before their premiere, and visit a working rehearsal studio to see the ins and outs of show business.",[],"['Guide services', 'Admission to private rehearsal studio']","['Tips', 'Food and drinks', 'Personal shopping and souvenirs']",['Suitable for all fitness levels'],"['Comfortable footwear is recommended.', 'Comfortable footwear is recommended.']","Departure pointFather Duffy Square, W 47th St, Manhattan, New York City, NY, 10036Meet your guide in front of the Father Duffy Statue."
One World Trade Observations Deck and Statue of Liberty Sightseeing Cruise,One World Trade observation deck entrance where you can choose to go anytime you wish plus a statue of liberty 60 minute sightseeing cruise where you will get close up to Lady Liberty and see the full NYC Skyline.,[],"['Statue of Liberty 60 minute sightseeing cruise', 'Open ticket to One World Trade Observation Deck']",,[],[],"Departure pointOne World Observatory, 285 Fulton St, One World Trade Center, New York City New York, 10007-0089"
New York Ghosts: Hauntings & Ghouls of Greenwich Village,"Come on our bone-chilling ghost tour presented by US Ghost Adventures!Our Greenwich Village Ghost Tour uncovers a side of Greenwich Village that few people know about. Since its founding, the neighborhood has been flooded with people looking for a better life, resulting in a rich, sad, and strange history. Join us on a once-in-a-lifetime journey to experience a side of New York that few people get to see.The Jefferson Market Library, Gay Street, and Mark Twain's House of Death are among the numerous paranormal locales based on real life history that you'll see on our haunted walking tour of Greenwich Village.",[],"['Thoroughly researched and accurate history', 'Professional and courteous guide', 'Authentic local ghost stories']","['Food and drink', 'Transportation']",[],[],"Departure pointWashington Square North, Washington Square N, Manhattan, New YorkMeet your tour guide at the arch in Washington Square Park. Your guide will be wearing a Junket T-shirt."
Private Pedicab Tour in New York City,"You should book a pedicab tour in Central Park if you want a fun and unique way to explore the Central Park. Pedicab tours allow visitors to see the park at a leisurely pace, without having to walk or bike long distances. The tours are led by knowledgeable guides who can provide interesting facts and stories about the park and its history. Tour guides will point out interesting sights, will give you stops to explore the sight by walking, will take your photos, and will keep you a great company. Pedicab tours are also a great option for visitors who want to see the park but may not be able to walk or bike long distances due to age or physical limitations. Overall, a pedicab tour is a great way to experience the beauty and history of Central Park - a memorable experience of your visit to the New York City.",[],"['Stops for Photos', 'Private Tour Experience', 'Group Tours (multiple pedicabs)', 'Warm Blankets and Rain cover (seasonal)', 'Licensed Tour Guide']","['Gratuities (optional)', 'Hotel Pickup and Drop-off']",[],[],"Departure point1409 6th Ave, 6th Ave 1409, Manhattan, New York, 10019The tour departs from 1409 6th Avenue in front of the local Starbucks."
Central Park Carriage Ride,"This enchanting tour will offer you the chance to experience the sights of Central Park from a traditional horse-drawn carriage. During your 45-minute ride, you’ll follow a circular trail passing some of the iconic green space’s most noteworthy landmarks. You’ll see the Wollman Rink, the vintage Central Park Carousel, the neoclassical Angel of the Waters sculpture in the Bethesda Fountain and more. You’ll make one stop at Cherry Hill where you can take photos and admire the view.",[],['45-minute ride'],['Tips'],['Suitable for all fitness levels'],"['Children under 18 years old must be accompanied by an adult.', 'Children under 18 years old must be accompanied by an adult.']","Departure pointJosé Julián Martí Statue, Center Drive, Manhattan, New York, NY, 10019Enter the park on 6th Avenue and 59th Street and meet in front of José Julián Martí Statue on the right."
Harlem Hip-hop Tour,"This cultural walking tour will introduce you to the origins of hip-hop as you explore Harlem. You’ll begin with a viewing of a multimedia production telling the story of how New York grew into the world’s greatest urban centre before embarking on your walk.  Led by an expert guide, you’ll discover Harlem through the eyes of some of hip-hop’s pioneers and hear fascinating stories and history. You’ll see Harlem’s oldest record shops, the legendary Apollo Theater and many of the city’s most iconic clubs as you learn about the musical and political background of the genre.",[],"['Two-hour walking tour', 'Guide services']","['Tips (optional)', 'Hotel transfers']","['Not recommended for visitors with heart problems or serious medical conditions', 'Suitable for all fitness levels']","['English (UK)', 'English (UK)', 'English (UK)']","Departure point1220 5th Ave, Manhattan, New York, 10029Meet your guide at the entrance to the Museum of the City of New York."
Manhattan Mashup Scavenger Hunt,"Our very unique, immersive adventures are the only ones of their kind. We, unlike other companies, provide your very own remote, interactive, live host to assist and encourage you along through your phone. We are an Austin, TX-based global custom event design company offering scavenger hunts and other events in 300+ cities in North America and beyond. Our specially hand-crafted adventures are equal parts tour, creative challenge, detective hunt, and social experiment! Guests get to discover in an alternate reality our favorite hidden gems off the beaten trail and creatively interpret fun art, history, and culture clues - for points! They get to enjoy fame and glory while appearing on our website’s international leaderboard, no matter what their score. They get to essentially race other teams in other cities, even if they don’t have competitors who have signed up in their city that day. Get ready to discover unusual oddities, laugh out loud, and make the experience your own!",[],"['Remote interactive live guide (Must provide domestic phone or WhatsApp number)', 'Leaderboard standing', 'Choice to extend the hunt for free', 'Future company alumni discounts', 'Digital Scavenger hunt document']",,[],[],"Departure pointLa Colombe Coffee Roasters, W 27th St 601, Manhattan, New York, 10001Begin outside in front of the starting location."
The Remnants of Dutch New Amsterdam Tour,"On this guided walking tour, you'll get to explore Lower Manhattan, the site of the original 17th-century Dutch settlement known as New Amsterdam. Throughout the tour, you'll be able to visit Bowling Green, Wall Street, Stone Street, New York Harbor and more. Accompanied by your expert guide, you'll gain insights into the city's history and hear stories about the foundation of New York City.",[],['Guide services'],['Tips'],['Suitable for all fitness levels'],"['English (US)', 'English (US)', 'English (US)']","Departure pointBowling Green, Manhattan, New York, NY, 10004Meet your guide at the National Museum of the American Indian."
Lower East Side Food Tour,"On this small-group, three-hour walking tour, you'll get to visit several of the best food destinations on the Lower East Side. Some of the stops will include Russ and Daughters, Economy Candy, Pickle Guys, Kossar’s Bialys, Doughnut Plant, Katz’s Deli and Vanessa’s Dumpling House. You'll also get to stop and shop at Essex Market and taste balsamic vinegar and olive oils at an olive and spice shop. You'll be led by a local guide who will share insight and stories about the history of the area.",[],"['Guide services', 'Bottled water']",['Gratuities'],['Suitable for all fitness levels'],"['Children under 18 years old must be accompanied by an adult.', 'Children under 18 years old must be accompanied by an adult.', 'Comfortable footwear is recommended.', 'Comfortable footwear is recommended.']","Departure pointYonah Schimmel's Knish, E Houston St 137, Manhattan, New York, NY, 10002"
Immersive Scavenger Hunt in Manhattan - The Secret City,"A puzzle-filled scavenger hunt through NYC's oldest neighbourhood. Visit majestic buildings and surreal sculptures as you unravel the fascinating and often bizarre history of this legendary district. Which worldwide institution started out as a group of men trading beneath a sycamore tree? Where did Alexander Hamilton drill his unit in preparation for the Civil War? Which Founding Father used to moonlight as an Agony Aunt? Find out all this and more in our deep dive through Lower Manhattan and the remains of New Amsterdam.Fancy a drink along the way? We've got you covered. Coffee, wine, fake Egyptian temples, beer from a street that's been making the stuff since 1632, our hunt includes carefully curated rest-stops at some of the highlights and best-kept secrets of NYC's Southern Tip.",[],"['An interactive puzzle-filled mystery sent to your phone and unravelled across the streets of NYC.', 'A tour of Lower Manhattan featuring fun facts on unique and interesting places.', 'Optional Hint and Lost messages to provide help with the puzzles.']",,[],[],"Departure pointChambers St, Manhattan, New York, 10013After purchase you will receive a text message introducing the
game and directing you to your start-point. You can reply to start the
trail at any point within 12 months. Any questions, just get in touch!"
The Soul of Harlem Walking Tour in New York,"Our 10,000-step journey will begin with a birds-eye view of the most popular street in Harlem, 125th Street. The main themes we will discuss are the Harlem Renaissance and gentrification.We walk by and discuss these famous places:- The world's famous Apollo Theater- Sylvia's Soul Food Restaurant- The home of Langston Hughes- Astor's Row- Several iconic muralsThis tour is based on a book I have written, You Are Here: A Geographic History of Enslaved and Free Africans in Manhattan from 1613 to 1865. I will use my tour guide experience (given over 500 tours) to make this a fun-filled tour. And best of all, you will have a Harlem experience—see the friendly culture, people, and places of Harlem.",[],"['When cake is available, I buy a slice of red-velvet cake from the famous Cake Man Raven Bake Shop']",,[],"['5 · Exceptional(36 reviews)See all reviews', '5 · Exceptional(36 reviews)See all reviews', '5 · Exceptional(36 reviews)', 'Good value4.0Facilities4.0Quality of service5.0Ease of access5.0', 'Good value4.0Facilities4.0Quality of service5.0Ease of access5.0', 'Good value4.0', 'Good value4.0', 'Good value', 'Good value', '4.0', '4.0', '', 'Facilities4.0', 'Facilities4.0', 'Facilities', 'Facilities', '4.0', '4.0', '', 'Quality of service5.0', 'Quality of service5.0', 'Quality of service', 'Quality of service', '5.0', '5.0', '', 'Ease of access5.0', 'Ease of access5.0', 'Ease of access', 'Ease of access', '5.0', '5.0', '']","Departure point85 E 125th St, E 125th St 85, Manhattan, New York, 10035The Ginjan Cafe"
Statue of Liberty Admission and Ellis Island Ferry,"With this ticket, you’ll get to explore New York’s most iconic monument – the Statue of Liberty.  You’ll get to enjoy a leisurely ferry ride across to Ellis Island too.  Once you get to the famous landmark, you’ll get to enjoy a 30-minute orienteering session. Then you’ll get to set off to explore the 46-metre iron statue.  If you select the ticket option at checkout, you’ll get to enjoy fast-track boat access and a guided tour around the monument too.","['Scenic and relaxing boat ride to Ellis Island', 'Chance to get up close to the iconic landmark', 'Insights into the history of the iron statue']",['Statue of Liberty and Ellis Island Admission'],"['Pedestal access (unless selected)', 'Crown access', 'Guide services (unless selected)']",['Please arrive at least 15 minutes before the activity starts.'],"['English (US)', 'English (US)', 'English (US)']","Meeting point24 State St, New York, NY, 10004Please meet your guide in front of Starbucks located at the listed address."
Famous Movies Outdoor Escape Game in New York Central Park,"Discover New York’s Central Park by solving challenges and unlocking stories on your phone. Play the engaging exploration game, taking the role of a film collector specializing in finding fabled flicks and mysterious media.As you solve challenges, the story unfolds and exact directions on your phone will guide you to the next location. So, are you up for an exciting city game?Highlights include:• Explore Tavern On the Green, Carousel, Wollman Rink, and lesser-known places.• Enjoy a uniquely crafted story brought to you by our top-notch writers.• Try a new type of experience, the perfect mix between a tour, outdoor escape game, and treasure hunt.After your booking, you will receive an email with instructions on how to download and play the game on your phone. We recommend that each user purchases a ticket for an optimal experience, although several people can share a phone.",[],"['24/7 customer support.', 'A city exploration game available on your phone (app).']","['A tour guide.', 'Entry tickets to attractions (not needed to complete the tour)']",[],[],"Departure pointTavern On the Green, W 67th St, Manhattan, New York, 10023• Go to Tavern On the Green (game starting point).
• Bring a charged phone.
• Open the app and follow the instructions.
• You must have downloaded the app and created an account first, using the same email you made the purchase with."
Wall Street Insider Tour,"This tour will take you on an educational excursion to Lower Manhattan's financial district with a finance professional as a guide. From the meeting point, your guide will lead you to the district's main highlights, including the iconic landmark where George Washington became President and the Trinity Church.  You'll also have a chance to pose for a photo with the famous Charging Bull, a bronze sculpture on Broadway. Afterwards, you'll get a glimpse of the Federal Reserve, where the tour ends. As you admire each site, your guide will offer insider information about the billion-dollar trading businesses of the world's biggest financial institutions.",[],"['Walking tour', 'Guide services']","['Tips', 'Admission']",['Suitable for all fitness levels'],"['Please arrive at least 15 minutes before the activity starts.', 'Please arrive at least 15 minutes before the activity starts.']","Departure point22 Broad Street, Manhattan, New York, NY, 10005This tour will end near the Federal Reserve."
New York CityPASS,"This sightseeing pass gives you the opportunity to visit five of New York City's most popular attractions. With the New York CityPASS®, you can view world-class art, take a ferry cruise and view the city atop iconic skyscrapers. Your pass includes admission to the Empire State Building, the American Museum of Natural History and a choice between the Top of the Rock® Observation Deck or the Guggenheim Museum. You'll also have a choice between ferry access to the Statue of Liberty and Ellis Island, or a Circle Line sightseeing cruise. An opportunity to visit the 9/11 Memorial and Museum or the Intrepid Sea, Air & Space Museum is also included.",[],"['Admission to Empire State Building', 'Admission to American Museum of Natural History', 'Choice of admission to three attractions']","['Transportation', 'Admission to Statue of Liberty or crown access']",['Suitable for all fitness levels'],"['Some attractions require reservations and have limited operational days and hours. Please arrive at the Empire State Building at your reserved time. \rPlease present your printed voucher or e-voucher for admission to the Empire State Building, the American Museum of Natural History, and three more attractions from: \r- Top of the Rock™ Observation Deck\r- Ferry Access to Statue of Liberty and Ellis Island \r- 9/11 Memorial and Museum\rShow more', 'Show more']","Departure point20 West 34th Street, New York City, NY, 10001"
Statue of Liberty Sightseeing Cruise,"During this 60-minute cruise, you will be able to leave the Brooklyn Bridge behind to admire the iconic skyline of New York. Once you arrive at the meeting point, you will get on board the cruise and listen to live commentary. As you make your way to the Statue of Liberty, you will be able to see several iconic attractions and learn more about their history.",[],['60-minute cruise'],,['Suitable for all fitness levels'],"['English (US)', 'English (US)', 'English (US)']","Statue of Liberty Sightseeing CruiseSouth St 299, Manhattan, New York, NY, 10002Please contact the tour provider to arrange a meeting point. 

Please present this voucher to the tour representative."
Guided City Tour,"On this guided city tour, you'll get the opportunity to take in the highlights of New York City on a visit to its main sites. You'll also have a chance to walk through New York, take a private double-decker and go on a ferry cruise. On the way, you'll see Lower Manhattan, the Hudson Yards and Rockefeller Center. Additionally, you'll make stops at the Statue of Liberty before heading back to midtown. You'll also be able to walk along 5th Avenue.",[],"['Transportation on a private double-decker bus', 'Guide services', 'Ferry cruise']","['Tips', 'Lunch']",['Suitable for all fitness levels'],"['English (US)', 'English (US)', 'English (US)']","Departure pointRockefeller Plaza 30, New York, NY, 10111 Meet your guide at Rockefeller Center, located in West 49th Street and next to the FAO Schwarz toy store. Your guide will be wearing an orange hat or a blue shirt/jacket, or both."
